"pos","call_count","call_ratio","run_count","not_run_count"
"1","783","0.18","36","102"
"2","682","0.15","43","95"
"3","671","0.15","42","96"
"4","373","0.08","30","108"
"5","298","0.07","31","107"
"6","219","0.05","32","106"
"7","158","0.04","43","95"
"8","115","0.03","37","101"
"9","114","0.03","9","129"
"10","99","0.02","47","91"
"11","97","0.02","25","113"
"12","59","0.01","31","107"
"13","54","0.01","35","103"
"14","54","0.01","41","97"
"15","48","0.01","37","101"
"16","48","0.01","46","92"
"17","38","0.01","48","90"
"18","36","0.01","36","102"
"19","30","0.01","35","103"
"20","30","0.01","45","93"
"21","27","0.01","49","89"
"22","26","0.01","34","104"
"23","24","0.01","37","101"
"24","24","0.01","52","86"
"25","24","0.01","51","87"
"26","20","0.0","45","93"
"27","18","0.0","40","98"
"28","18","0.0","39","99"
"29","15","0.0","37","101"
"30","14","0.0","49","89"
"31","13","0.0","46","92"
"32","13","0.0","42","96"
"33","13","0.0","40","98"
"34","12","0.0","2","136"
"35","12","0.0","48","90"
"36","12","0.0","44","94"
"37","12","0.0","37","101"
"38","12","0.0","30","108"
"39","10","0.0","53","85"
"40","9","0.0","42","96"
"41","8","0.0","56","82"
"42","6","0.0","33","105"
"43","6","0.0","44","94"
"44","6","0.0","38","100"
"45","6","0.0","31","107"
"46","6","0.0","45","93"
"47","6","0.0","44","94"
"48","6","0.0","42","96"
"49","6","0.0","41","97"
"50","6","0.0","38","100"
"51","6","0.0","35","103"
"52","5","0.0","30","108"
"53","5","0.0","47","91"
"54","4","0.0","37","101"
"55","3","0.0","51","87"
"56","2","0.0","39","99"
"57","2","0.0","32","106"
"58","2","0.0","37","101"
"59","1","0.0","50","88"
"60","1","0.0","58","80"
"61","1","0.0","47","91"
"62","1","0.0","48","90"
"63","1","0.0","35","103"
"64","1","0.0","36","102"
"65","1","0.0","32","106"
