"pos","call_count","call_ratio","run_count","not_run_count"
"1","970","0.36","26","37"
"2","734","0.27","27","36"
"3","373","0.14","30","33"
"4","185","0.07","23","40"
"5","159","0.06","21","42"
"6","31","0.01","41","22"
"7","26","0.01","41","22"
"8","26","0.01","28","35"
"9","22","0.01","32","31"
"10","20","0.01","42","21"
"11","19","0.01","15","48"
"12","16","0.01","42","21"
"13","16","0.01","47","16"
"14","14","0.01","20","43"
"15","14","0.01","47","16"
"16","12","0.0","29","34"
"17","12","0.0","33","30"
"18","10","0.0","38","25"
"19","6","0.0","24","39"
"20","6","0.0","29","34"
"21","5","0.0","37","26"
"22","3","0.0","45","18"
"23","2","0.0","45","18"
"24","2","0.0","5","58"
"25","2","0.0","39","24"
"26","2","0.0","43","20"
"27","2","0.0","43","20"
"28","1","0.0","42","21"
